K,epidemic peak,cost fun,delta fun
176.5,695.6,1623.5705573080968,1
177.0,677.4,1607.9993690851734,1
177.5,697.8,1631.0281808622503,1
178.0,648.0,1583.856992639327,1
178.5,704.8,1643.2858044164036,1
179.0,687.8,1628.9146161934805,1
179.5,677.8,1621.5434279705573,1
180.0,705.6,1651.9722397476341,1
180.5,645.2,1594.201051524711,1
181.0,696.8,1648.4298633017875,1
181.5,655.2,1609.4586750788644,1
182.0,679.4,1636.287486855941,1
182.5,657.6,1617.1162986330178,1
183.0,708.6,1670.7451104100946,1
183.5,676.0,1640.7739221871714,1
184.0,666.4,1633.802733964248,1
184.5,684.4,1654.431545741325,1
185.0,665.6,1638.2603575184016,1
185.5,697.8,1673.0891692954783,1
186.0,709.4,1687.317981072555,1
186.5,701.0,1681.5467928496319,1
187.0,674.2,1657.3756046267088,1
187.5,647.4,1633.2044164037854,1
188.0,664.8,1653.2332281808622,1
188.5,702.6,1693.662039957939,1
189.0,676.4,1670.0908517350158,1
189.5,702.2,1698.5196635120926,1
190.0,642.8,1641.7484752891692,1
190.5,707.0,1708.577287066246,1
191.0,689.0,1693.2060988433227,1
191.5,692.4,1699.2349106203997,1
192.0,668.8,1678.2637223974762,1
192.5,723.4,1735.492534174553,1
193.0,715.2,1729.92134595163,1
193.5,691.0,1708.3501577287066,1
194.0,692.8,1712.7789695057834,1
194.5,607.6,1630.2077812828602,1
195.0,715.8,1741.0365930599369,1
195.5,672.0,1699.8654048370136,1
196.0,641.6,1672.0942166140903,1
196.5,687.2,1720.3230283911673,1
197.0,692.8,1728.5518401682439,1
197.5,650.2,1688.5806519453208,1
198.0,674.8,1715.8094637223974,1
198.5,673.6,1717.2382754994742,1
199.0,663.4,1709.6670872765508,1
199.5,683.8,1732.6958990536277,1
