proba is,proba sr,nombre hpb,nombre shp,pic,cumul inf
0.2,0.02,2,3,195,38430
0.2,0.02,2,4,192,44357
0.2,0.02,3,0,196,45686
0.2,0.02,3,1,192,40898
0.2,0.02,3,2,191,40511
0.2,0.02,3,3,194,41388
0.2,0.02,3,4,192,39457
0.2,0.02,4,0,194,42356
0.2,0.02,4,1,196,39734
0.2,0.02,4,2,195,36639
0.2,0.02,4,3,196,38055
0.2,0.02,4,4,193,40070
0.2,0.02,5,0,190,41030
0.2,0.02,5,1,190,37304
0.2,0.02,5,2,193,33726
0.2,0.02,5,3,185,37449
0.2,0.02,5,4,190,39554
0.2,0.025,1,0,193,35543
0.2,0.025,1,1,188,33721
0.2,0.025,1,2,192,33691
0.2,0.025,1,3,189,30864
0.2,0.025,1,4,191,30096
0.2,0.025,2,0,188,32010
0.2,0.025,2,1,190,27830
0.2,0.025,2,2,189,29622
0.2,0.025,2,3,191,31871
0.2,0.025,2,4,188,33574
0.2,0.025,3,0,192,34109
0.2,0.025,3,1,189,33407
0.2,0.025,3,2,191,31391
0.2,0.025,3,3,194,28953
0.2,0.025,3,4,189,27205
0.2,0.025,4,0,195,29000
0.2,0.025,4,1,183,32537
0.2,0.025,4,2,191,27437
0.2,0.025,4,3,196,34442
0.2,0.025,4,4,183,28187
0.2,0.025,5,0,189,31790
0.2,0.025,5,1,191,30863
0.2,0.025,5,2,194,33662
0.2,0.025,5,3,197,30286
0.2,0.025,5,4,191,32789
0.2,0.03,1,0,188,28698
0.2,0.03,1,1,191,27999
0.2,0.03,1,2,194,29095
0.2,0.03,1,3,190,28141
0.2,0.03,1,4,188,22819
0.2,0.03,2,0,193,30878
0.2,0.03,2,1,196,30301
0.2,0.03,2,2,194,27776
0.2,0.03,2,3,193,24331
0.2,0.03,2,4,184,32217
0.2,0.03,3,0,192,25679
0.2,0.03,3,1,186,24635
0.2,0.03,3,2,194,30007
0.2,0.03,3,3,187,24068
0.2,0.03,3,4,190,27313
0.2,0.03,4,0,195,26723
0.2,0.03,4,1,192,28586
0.2,0.03,4,2,187,21418
0.2,0.03,4,3,191,26013
0.2,0.03,4,4,193,27529
0.2,0.03,5,0,192,24774
0.2,0.03,5,1,193,25878
0.2,0.03,5,2,187,24095
0.2,0.03,5,3,191,27555
0.2,0.03,5,4,191,24236
0.2,0.035,1,0,191,23715
0.2,0.035,1,1,191,22215
0.2,0.035,1,2,191,26373
0.2,0.035,1,3,194,26970
0.2,0.035,1,4,187,21583
0.2,0.035,2,0,187,24928
0.2,0.035,2,1,192,23306
0.2,0.035,2,2,191,24998
0.2,0.035,2,3,193,23774
0.2,0.035,2,4,187,22724
0.2,0.035,3,0,185,23999
0.2,0.035,3,1,191,23350
0.2,0.035,3,2,193,20822
0.2,0.035,3,3,178,19325
0.2,0.035,3,4,191,22886
0.2,0.035,4,0,192,22726
0.2,0.035,4,1,185,22220
0.2,0.035,4,2,184,20689
0.2,0.035,4,3,177,19897
0.2,0.035,4,4,190,25448
0.2,0.035,5,0,186,22929
0.2,0.035,5,1,191,22149
0.2,0.035,5,2,189,20249
0.2,0.035,5,3,182,21756
0.2,0.035,5,4,186,22510
0.2,0.04,1,0,185,22539
0.2,0.04,1,1,179,20037
0.2,0.04,1,2,191,20097
0.2,0.04,1,3,187,18308
0.2,0.04,1,4,190,22827
0.2,0.04,2,0,195,21787
0.2,0.04,2,1,186,18862
0.2,0.04,2,2,184,20465
0.2,0.04,2,3,189,18461
0.2,0.04,2,4,180,19512
0.2,0.04,3,0,190,20025
0.2,0.04,3,1,181,17568
0.2,0.04,3,2,190,19146
0.2,0.04,3,3,193,19855
0.2,0.04,3,4,187,21098
0.2,0.04,4,0,188,19645
0.2,0.04,4,1,192,20418
0.2,0.04,4,2,194,20928
0.2,0.04,4,3,193,19026
0.2,0.04,4,4,177,18299
0.2,0.04,5,0,186,20865
0.2,0.04,5,1,191,21506
0.2,0.04,5,2,191,19537
0.2,0.04,5,3,184,18859
0.2,0.04,5,4,189,19917
0.2,0.045,1,0,186,17641
0.2,0.045,1,1,188,19769
0.2,0.045,1,2,191,16506
0.2,0.045,1,3,191,16622
0.2,0.045,1,4,189,15753
0.2,0.045,2,0,187,21248
0.2,0.045,2,1,183,15956
0.2,0.045,2,2,181,17958
0.2,0.045,2,3,179,16647
0.2,0.045,2,4,188,17423
0.2,0.045,3,0,190,19322
0.2,0.045,3,1,186,17651
0.2,0.045,3,2,188,20833
0.2,0.045,3,3,190,15346
0.2,0.045,3,4,185,15640
0.2,0.045,4,0,186,17664
0.2,0.045,4,1,184,15912
0.2,0.045,4,2,186,17198
0.2,0.045,4,3,186,19986
0.2,0.045,4,4,180,18074
0.2,0.045,5,0,190,19306
0.2,0.045,5,1,188,15567
0.2,0.045,5,2,174,16141
0.2,0.045,5,3,189,15335
0.2,0.045,5,4,184,13792
0.2,0.05,1,0,179,15598
0.2,0.05,1,1,187,15145
0.2,0.05,1,2,185,15823
0.2,0.05,1,3,179,14254
0.2,0.05,1,4,183,14907
0.2,0.05,2,0,177,14969
0.2,0.05,2,1,188,17149
0.2,0.05,2,2,179,15621
0.2,0.05,2,3,192,16125
0.2,0.05,2,4,183,15944
0.2,0.05,3,0,189,14799
0.2,0.05,3,1,179,17464
0.2,0.05,3,2,183,16126
0.2,0.05,3,3,182,13503
0.2,0.05,3,4,182,16569
0.2,0.05,4,0,175,13639
0.2,0.05,4,1,179,13444
0.2,0.05,4,2,186,15971
0.2,0.05,4,3,185,14967
0.2,0.05,4,4,174,11999
0.2,0.05,5,0,185,14871
0.2,0.05,5,1,183,16322
0.2,0.05,5,2,184,14712
0.2,0.05,5,3,183,13913
0.2,0.05,5,4,179,13819
0.2,0.055,1,0,174,14234
0.2,0.055,1,1,174,13979
0.2,0.055,1,2,184,15197
0.2,0.055,1,3,189,13843
0.2,0.055,1,4,182,14285
0.2,0.055,2,0,187,13973
0.2,0.055,2,1,184,15251
0.2,0.055,2,2,179,13516
0.2,0.055,2,3,181,12569
0.2,0.055,2,4,181,13074
0.2,0.055,3,0,186,15757
0.2,0.055,3,1,189,14769
0.2,0.055,3,2,177,12335
0.2,0.055,3,3,187,16029
0.2,0.055,3,4,181,15187
0.2,0.055,4,0,182,14535
0.2,0.055,4,1,186,14618
0.2,0.055,4,2,179,12955
0.2,0.055,4,3,164,10749
0.2,0.055,4,4,187,13503
0.2,0.055,5,0,187,14273
0.2,0.055,5,1,183,13134
0.2,0.055,5,2,173,11190
0.2,0.055,5,3,180,13133
0.2,0.055,5,4,187,14609
0.2,0.06,1,0,185,13390
0.2,0.06,1,1,186,13290
0.2,0.06,1,2,184,12108
0.2,0.06,1,3,180,14315
0.2,0.06,1,4,185,13678
0.2,0.06,2,0,170,10157
0.2,0.06,2,1,187,12704
0.2,0.06,2,2,178,13083
0.2,0.06,2,3,191,12019
0.2,0.06,2,4,187,13501
0.2,0.06,3,0,185,14234
0.2,0.06,3,1,190,13781
0.2,0.06,3,2,180,12522
0.2,0.06,3,3,181,12144
0.2,0.06,3,4,178,13444
0.2,0.06,4,0,181,14008
